,author,text,date,stars
235,Ambika S.,"Mona Lisa was a great experience! Many options for gluten free dishes/pastas- I had the Gluten Free Kale and Mozzarella Ravioli, and it was delicious! We had good service as well- attentive wait staff. And the owner is very friendly and welcoming. If I lived the area, this would be one of my go-to places!
",2019-07-26,5.0
236,Luis C.,"Nice Italian restaurant in Little Italy that had a nice quiet atmosphere. We came on a Sunday afternoon and it wasn't crazy packed or busy. The service was decent and the food was good. 
I had the Fettucine Leonardo and thought it was rich in flavor. The sauce was just right. 
 I had a hard time picking what to eat because the menu was FULL of options.
 I recommend the restaurant and hope to return soon
",2019-04-22,4.0
237,Arnel D.,"Surprisingly good restaraunt. 

It's hard to choose a place when you're stuck between Chinatown and Italian-town in San Francisco. Luckily my wife chose the spot and we  were glad we stopped here.

The owner was very welcoming and their staff were great.

The food was delicious and the restaurant had cool decor. 

This place has been here a long time and will be for many years to come. 

I'd visit again when in the area.

It is a busy place and tables are very close to each other so don't plan on having an intimate dinner.
",2017-04-02,4.0
238,Helana B.,"This place was amazing! I had the fettuccine Alfredo with chicken. Great portion sizes. The chicken parmigiana was also phenomenal. The sauce is the best! Definitely would visit this place again!
",2019-02-09,5.0
239,Susan C.,"Giovanni, our server, was one of the best parts of the meal. He was very knowledgeable and let me try a few sips of different wines to pick the perfect one for dinner after asking what I liked and didn't like. The menu is extensive and the only problem I had was choosing between items. We started with garlic cheese bread made with fresh garlic. The smell had my my husband closing his eyes, inhaling and smiling. I ordered the classic lasagna and it had an excellent mix of meat to cheese to noodles mix served piping hot and tasting very fresh. I gave part of it to my husband as it was a huge serving and I wanted to save room for dessert. We shared a raspberry panna cotta that was delicious. We finished with a small glass of excellent port and I'm looking foreword to coming back
",2019-03-06,5.0
240,Nathan Anthony R.,"I love this restaurant! I've been here a few times, and have always had a great experience! The last time I was here was with my wife a few months ago, so it has been a while, but we had a very nice experience (Again). We like to dress nice for our dinner outings, I wore a nice blazer with a tie. We could tell immediately that we were being taken care of and made to feel at home at the restaurant! A man who I believe was the owner, gave us each champagne to drink while we waited to be seated. There was a bit of a wait time, but with the complimentary champagne we didn't mind! We were given the best seat in the house! Right by the window facing the street! When we were walking out after enjoying our delicious meal, the owner stopped what he was doing and chatted with us and again made us feel very welcome. Highly recommended!
",2019-01-30,5.0
241,Lori D.,"Oh my goodness!! Amazing Italian food! We had the bruschetta - I just wanted to try the spaghetti Bolognese and it was spectacular. Of course it's probably hard to mess up spaghetti, but it was delicious!!
",2019-02-11,5.0
242,John S.,"Food and atmosphere were superb!  Antonio our waiter was very attentive and awesome.  Authentic bolognese sauce and chicken Marsala was to die for. The bruschetta and pizza were home runs as well.
",2019-07-22,5.0
243,Dallas S.,"A small piece of Italy and exquisite meals, lunch or dinner, you won't be disappointed! From the appetizers  to the pizzas with rustic crust to the entrees you will be left with having to make choices, excellent list of wines as well. Amazing food, well worth the visit!
",2018-10-29,5.0
244,Francesco G.,"I just had a Pinsa (pizza) with broccoli and sausage. Very light and good food. The service is so festive and authentic. The owner, Maurizio, is very friendly and kind. He brought for free some antipasti (bruschetta, prosciutto and cheese). Top. 
He was always checking if everything was ok. 
Very good prices and good quality food. 
I totally recommend this place and I can't wait to bring my family here for dinner.
",2018-11-27,5.0
245,Art C.,"Wow, the service was like being at home in Italy with family. Giovanni had several great suggestions- all good. This is a repeat. I had penne pasta, the wife had lasagna. Both were great. This is a legit Italian restaurant- sauce made from real tomato's, by hand, with love. Fresh cheeses - awesome garlic. Almost makes me want to live close by (unfortunately I live a long plane trip away). Explore this place, the menu, the people - Italy in SF!
",2019-03-06,5.0
246,Shaun G.,"This is the best Italian food I've ever had.  Everything was phenomenal, right down to the tiramisu.  Staff was exceptional on every visit.  A must stop in San Francisco!!!!
",2019-07-18,5.0
247,Juliana N.,"I loved this place. The food was great the wait service amazing. Fresh parm, oil & vinager at the table. The waiter seemed to be speaking italian to the manager and such love how they try to make it authentic. The best was they still cared about what I thought I called one week later because I couldn't stop thinking about the wine (chianti) and they told me which one to get and I have to say being from far away I loved that they wanted to make sure I had good thoughts. Spreading the love
",2019-01-03,5.0
248,Maria M.,"My boyfriend and I found this place on yelp. I made a reservation and upon arriving the owner greeted me by my name. We sat in a corner table our waiter was very attentive and even suggested some of his favorite dishes. I went with the lasagna and a glass of moscato. It was a good night.
",2019-05-26,4.0
249,Amanda J.,"Simply amazing. the service was fast and our waiter was super friendly. anf the food... oh the food was incredible will certainly be returning again soon.
",2019-07-22,5.0
250,Lisa E.,"Very disappointing now. This was my families go to Italian restaurant in North Beach for 25 years. The inside was cozy and felt very authentically Italian. Now the owner has installed TV screens everywhere which makes you feel like you're in a sports bar, they've put military and law enforcement hats on the busts of all his sculptures and the place is full of pictures of movie stars headshots which is unclear as to why.... So confusing what image they're going for in there now.

In the past the servers offered to grate Parmesan cheese over your dish. Yesterday a bowl of pre-grated Parmesan cheese was just placed on the table like it came out of the jar.

The chocolate profiteroles used to be amazing and now they're just OK. We won't be back. Disappointing.
",2018-08-24,2.0
251,Karen T.,"Best Italian Ever!  What an Amazing family  and the food was Like Momma!  Marinara was Perfect  My first to San Francisco now with love from this family! You will fall in love the Italian way  Thank you  Mauricio ! Stefan and I appreciate you !
",2018-10-09,5.0
252,Emma H.,"While traveling to San Francisco from Washington, this was my first time in the city. And I fell in love with the staff! You can tell the owner takes pride in his restaurant. While dining my husband and I were treated like royalty! Not to mention the food was the BEST Italian I've ever had! If I could give more stars I would!
",2018-11-05,5.0
253,Anne S.,"The best Italian  food you can imagine! Good sized portions. Incredible tasting. Cream sauce was to die for. Chicken Piccata was delicious.. but that cream sauce...5 stars!
",2019-04-20,5.0
254,Calvin M.,"Really enjoyed eating here, the food tasted really good. Location is good, got to sit by the window which was also very nice.
",2019-01-11,5.0
255,T O M.,"Unfortunately, this is definitely one of the worst restaurant I've ever been in SF. 
Atmosphere is old, menu is boring, and dishes are too salty. And from my experience, I can tell you that this place, doesn't serve an authentic Italian food. If you are in SF, you can definetely find a better restaurant.
",2018-07-06,1.0
256,Deana H.,"We ended a food walking tour here. We had a great little table on the street and were served a pizza along with a glass of wine. The place was so fun, but the best part was Maurizo who kept coming out to check on us. Come to find out he was the 4 generation family member of this place. How awesome is that! These are the type of places that we need to patron and preserve from big money corporations taking over. Our tour ended and our tour guide left us, we continued to stay for another bottle of wine and ended with a cannoli. However, it was Maurizo who made the experience the best.
",2019-07-13,5.0
257,Jeanine T.,"Went in to simply ask how long the wait was. Some man who thinks he's better than everyone else said ""I don't know"" and then made rude remarks. Pointed me outside and said ""I'm on Italian time"". Bud, that's how you don't get business. Get some better manners to potential customers. Thanks.
",2019-07-12,1.0
258,LD W.,"Right on the main drag I've passed this place before and wondered if they catered to the tourist crowd.  Heck, even if they do (and I was a tourist by the way), they kicked ass!  

Had a great waiter, thick Italian accent, wonderful pastas and calamari.  And wine.  And did I mention the pasta?  I had gnocci in an amazing blue cheese cream sauce.  

I seriously plan to return next time I'm in San Francisco!
",2018-09-27,4.0
259,Alysha M.,"This place is no joke!

Wow. The fettuccine Leonardo is to die for. 

Extremely authentic Italian- as in, everyone who works here speaks fluent Italian. It's awesome.
",2017-04-03,5.0
260,Jamye A.,"Really awful service. I had reservations for valentines day. They sat us on a table that was in the middle of the whole restaurant. I had to look around and ask to sit somewhere cozier. Restaurants should always prioritize reservations with the best sitting. They brought us water and just put it on the table expecting us to pour it. what kind of service is that? Food was mediocre. I can make a tastier pasta at home. The only thing that brought me here is the whole Mona Lisa theme. But I will never come back and I do not recommend this place.
",2019-03-28,1.0
261,Claudio M.,"This restaurant is always great.  The food is very authentic and delicious.  The service is second-to-none.  The owner makes his rounds saying hello to people.  Highly recommended.
",2019-03-25,5.0
262,GS S.,"Walking around North Beach, looking for a nice place to eat and we found this amazing restaurant with such a warm atmosphere. Mario and Giovanni made our evening. They were super friendly yet very professional, delicious wine and conscious eats. If you are red wine lover do not pass by THE Brunello. Absolutely Delicious! The pasta is definitely the star of the show. Every dish was outstanding and cooked al dente to perfection! Also arrived on our table at the right temperature. The icing on the cake was that, while waiting for our bill to arrive, a server brought little surprise dessert wino. 
Will definitely come back and I'm not just saying that because the music was fire, mostly because the servers were so cute and friendly. Thank you Giovanni, Thank you Mario.               *5 STAR*


Nana Sarkisian
",2018-01-22,5.0
263,Melody D.,"Excellent food and great service! We thoroughly enjoyed our meal! We highly recommend this place!
",2019-07-14,5.0
264,Beth S.,"Everything we ate was amazing! We had margarita pizza, spaghetti with meatballs, lasagna,  rigatoni aldon smith. We can't say one was better than the other, they were all uniquely delish!
",2018-08-19,5.0
265,Paul D.,"Another beautiful night at Our favorite restaurant in San Francisco  Moriceo and the staff is excellent s the food is always amazing!!!!!!
",2018-08-16,5.0
266,Judith B.,"We visited this place with our daughter and her husband on our last day in San Francisco. I felt in love with the food! I had the Ravioli Di Porcini, finger licking. My husband and son in law had risotto. One had Risotto Di Porcini and the other chicken Risotto. I am looking forward to my next visit to the
",2018-06-02,5.0
267,Kelsy S.,"We ordered food to go based off a recommendation from someone who had eaten there the night before. Can I say Surpurb!!! Both me and my friend ordered the spaghetti bolognese and meatballs with sausage. They included a good amount of bread with the meal however, I wish there was a way to include the olive oil when ordering for delivery.
",2019-04-06,5.0
268,Alex B.,"Prons: very cozy restaurant with cool interior. 
Cons: However food did not meet my and my wife's expectation. 

Insalata di Spinaci was great, big portion and yummy but a bit too lemony. 

Chicken Marsala was a bit too bitter. Chicken itself was good but could be a bit softer. 

Risotto was ok but rice slightly undercooked. 
Seems like both dishes lacked salt (maybe good, because salt can always be added) but there was no twist or kick or something exciting about them. 

The red Cabernet Sauvignon ordered by glass was not enjoyable, tasted cheap. 

My wife liked Tiramisu, I thought it was OK.

Verdict: maybe we ordered wrong dishes at the place. It was ok but certainly not the experience that would want me to come back and have more.
",2018-08-15,3.0
269,Bader M.,"Best Italian food ever ... the restaurant achieves the highest level of Italian authenticity ... I go to eat there everyday and I'm happy to spend my money there ... I highly recommend this place , my favorite Italian restaurant in North America
",2019-03-06,5.0
270,Amy M.,"We pretty much found all our food from Yelp reviews. This place did NOT disappoint! We came for an early dinner on a weekday and there was no wait. we loved how authentic the restaurant felt (my husband is Italian and frequents Italy) The owner was there and spotted to say hi. Everyone was speaking Italian so it felt very authentic and was fun to hear. The food was great but very $$$ but we didn't care as 1) we were in San Francisco and everything is expensive and 2) because the experience was so amazing!
",2019-04-04,5.0
271,Pieter T.,"Had a wonderful dinner and all the staff were amazing. I had the spaghetti all ametriciana which had the best sauce I have ever had   My wife ordered the lasagna which was exceptional and a very large portion.  I will be having her leftover lasagna for my lunch tomorrow.  The atmosphere is old word Italy and makes you feel comfortable.  Would highly recommend to everyone
",2019-07-03,5.0
272,Tim O.,"This is by far my favorite restaurant in SF. Their chicken parm and chicken Marsala are amazing and they have a great selection of wine and beer. Authentic Italian food and a great place to go with a group of friends or family. If you save some room after the meal, go for the Tiramisu!
",2019-07-09,5.0
273,Nilufar F.,"I honestly do not understand how this restaurant has 4 stars rating! If you end up here, Do Not order carbonara! Mine smelled so bad and tasted even worse! I'm usually shy to send the food back...but I did today! they switched my food for a fettuccine alfredo that tested like water... How could you mess that up? The only star given is for their service, at least they were nice enough to switch my food.
",2019-01-25,1.0
274,Anthony C.,"Great food and great service.  They really take care of you here.  This was our 2nd time here and we made sure that we came back.  We found this gem by accident back in September and we brought our family back w us.  So good, a must !!!
",2019-07-01,5.0
275,Adam L.,"When they tell you 15 minutes they mean an hour and a half...
If you are Italian you will wait less
Go to stinky rose
Way better
",2018-08-05,1.0
276,Seth F.,"Small place with great Italian staff.  We got pizza, lobster ravioli, and pasta.  The sauce was amazing, the pizza was tasty, and my kids loved the mozzarella cheese salad.  We would definitely go back.
",2019-03-26,4.0
277,Yesenia C.,"Very good restaurant! I suggest you make a reservation because they can get busy. The service was super fast and nice! Will definitely be going again
",2019-02-24,5.0
278,Taylor M.,"I absolutely loved the Penne with Vodka Sauce here! The vodka sauce was amazing and our waiter Manuel was so friendly and welcoming! Highly recommended! I'll be coming back next time I'm in the city
",2019-02-24,5.0
279,Mark-Anthony B.,"It was around 8:30pm when we came. The layout was nice. I was unimpressed by our server. I literally watched him leave the restaurant to chill outside and drink wine. It was hard asking for anything, only had one cup of water the entire night, literally. The food was okay, you can't rush perfect but damn it took us so long to get our food (not even busy) and wasn't too great. The dining experience here is very weak and not consistent throughout the night. Wouldn't recommend, especially for a birthday.
",2019-02-02,2.0
280,Jackie Z.,"Yesterday a few of us friends felt like enjoying a lovely Italian meal. I recommended Mona Lisa Restaurant, as I have had several yummy experiences at this restaurant before. Before entering my friends and I were scanning the menu located outside of the restaurant. The owner of the restaurant asked how many in our party, then proceeded to offer an appetizer on the house. 

We were seated, ordered beverages, our appetizer (which was ""on the house"") and lastly ordered our entrees. Our waiter was friendly and fast, which was perfect since we were starving! 

ALL of our food was perfect and delicious. No complaints there at all. On the contrary, the ingredients were fresh and rich. 

My issue here was the lack of communication in regard to our appetizer on the house. It was a good 20 min seated, when we ordered our drinks and appetizer. Once our ordered appetizer came out, our server brought an ADDITIONAL plate of bruschetta and said the owner ""also sent you this"". When we got the bill, the bruschetta was complimentary only. We were never asked if that's what we wanted as our complimentary appetizer. To me this smelled like tourist bait and I was extremely disappointed, especially when I was the one to bring my three friends to this restaurant. 

I asked our server and he repeated to me that the bruschetta was the complimentary dish only. Management, please make sure that if an offer will be made to a customer, that the Terms are crystal clear. I took responsibility for paying our non-complimentary appetizer as I didn't want to have a petty argument over an appetizer.
",2018-05-21,3.0
281,Sarmad R.,"Delicious Italian food, recommended for lunch and dinner,
We got the pasta with eggplant and it was one of the best i tried
",2018-07-28,5.0
282,Corey K.,"Fun place!  We walked up at dinner time and they were able to seat us right away. I ordered the Penne al Forno alla Calabrese and it was delicious!  Great service as well.  Highly recommend!
",2019-06-26,5.0
283,Stephanie G.,"This location is easy to find and make reservations at too. The space is relatively small and cramped but so are most places in San Francisco. The menu is great and full of options for vegetarians. I wish there were a few more options with pasta and veggies. It was mostly just pasta and sauce on the veggie menu. The staff was all great and the prices are really reasonable. I tried both the house salad and the spinach salad and the house salad is the way to go. I will definitely be back to Mona Lisa next time I'm in San Francisco.
",2018-06-03,5.0
284,Roshi R.,"We were so surprised eating the first bite of our pasta after looking up the reviews in Yelp. It was super greasy and tasted almost pungently. We mentioned that the food is extremely bad but the owner came to our table and told us that we are gonna charge you so we are better off ordering something else. The second pasta was as bad and greasy. I don't recommend this place at all.
",2019-01-25,1.0
285,Nicole M.,"Fantastic experience! The Burrata Fresca is amazing & you can't order a bad pasta dish here. The owner is a gracious host & wait staff are very attentive. Not a bad date night at all.
",2019-03-16,5.0
286,John D.,"We had a great time there. Food was great, the service was friendly and helpful, and it didn't hurt that the owner was from the same part of Italy as my family.
",2019-03-14,5.0
287,Angela S.,"Great place for yummy Italian food and wine in our favorite San Fransisco neighborhood. The antipasto for two is incredible; the service and ambiance are warm and homey.
",2018-09-09,5.0
288,Efrat K.,"Amazing food! Great service! A real italian experience. Yummy!
Not much to say the carpaccio was amazing! The tiramisu was one of the best ive had.
",2018-05-11,5.0
289,Mony S.,"Pretty good italian food. We got the chick parm and penne with pink sauce as the main course and garlic in white wine with parm for the appetizer. The owner is absolutely adorable, but the service is alright and the food doesn't deserve the price (24$ for a chick parm!). Wouldn't come again, but not angry at the experience. 
-two college kiddos
",2019-03-09,3.0
290,Kieran O.,"So much on the walls to look at.  Recommended by a cousin of mine and it did not disappoint.  Delish Italian food with nice wait staff.  We went in July and would definitely go back on our next visit.
",2019-02-07,5.0
291,Camellia M.,"This restaurant was absolutely amazing. The service was perfect (especially Antonio C.) and the restaurant itself was absolutely beautiful. The food was delicious and the owner and waitstaff were very welcoming. Many many options for appetizers, entrees, and desserts. One of the best Italian restaurant in San Francisco.
",2019-06-20,5.0
292,Lety L.,"Delicious authentic Italian food!! And awesome service! Today I tried Diavola Pizza, Pasta Pomodoro and Tiramisu... a must in the North Beach!
",2018-08-07,5.0
293,Natasha S.,"Best service I've had in SF. Order the chicken Parmesan and pasta with Alfredo sauce! Best I've had. Thank you to all that made my birthday dinner special
",2018-08-29,5.0
294,Danielle B.,"So glad we stumbled across this gem in the city! They took our party of 5 late Christmas Eve. Food was awesome, service was excellent, will definitely be back! Seafood risotto- on point!
",2018-12-24,4.0
295,Angela Q.,"Went here for my best friend's birthday. Intimate and eccentric environment. Excellent service, food and wine. I had the seafood spaghetti and she had the chicken parmesan. Delicious. We even had a surprise from one of the guests, an opera singer singing happy birthday.
",2019-01-29,4.0
296,Carlos A.,"I've been here a couple of times and I always leave content. The food is great and so are the wine options. The service is exquisite and the restaurant is definitely something you have to experience firsthand. Will definitely be back again!
",2019-01-06,5.0
297,Karla M.,"My husband and I came for our One year anniversary to this wonderful place, Im seriously so glad we came to experience yummy food and wine in this restaurant, im so sad i didnt get to take any more pictures of the food; i was too excited enjoying the moment (: .Our waitter lucca was also very attentive and nice. I will defenetely recomment this place to my friends and family . Thank u so much for giving us such a great experience!
",2018-07-22,5.0
298,Kathy D.,"Awesome restaurant.... food,staff,service,ambiance... I have now spent two birthdays there and love it!! Little Mona Lisa car out front makes a great photo op!
I highly recommend Mona Lisa restaurant!
",2018-12-29,5.0
299,Janeice S.,"Mauricio was fantastic. So pleased with the service and the food. Be sure to stop in when you're in the city.
",2019-02-16,5.0
300,Trini H.,"Food was 5 star, service was 1!  The food was excellent. Everything was fresh, authentic Italian food. Unfortunately, our waiter could care less about taking care of our large party (10). He made a couple rude comments and we had to ask for more wine. Then we get the bill and of course due to being a large party, he added his own tip!  He didn't deserve the 20% he gave himself.  There are too many wonderful Italian restaurants to ever go back here.
",2018-12-11,2.0
301,Mark A.,"Asparagus ravioli's were very good.   I've been here twice and both times the service was exceptional.   Would come back again and again.
",2018-11-20,5.0
302,patti b.,"Can't give a review on the food, server was beyond rude, walked out and he threw a temper tantrum yelling at us! This was after sitting at the table for an hour with no water or service. Server was busy talking with other employees. He told us too get out! We were visiting for a week, this incident was traumatizing! I'm still upset, and the response from the manager didn't seem genuine! Very upsetting on our vacation!
",2018-09-23,1.0
303,Lance A.,"First - we live here is SF, and originally from NJ - we know and love Italian. Mona Lisa is our favorite in North Beach - it's our weekly Sunday dinner spot. Across the entire menu the food is excellent - Cacai de Pepe, meatballs, arancini, manicotti, fettuccini Pescatore, and penne San Francisco are our favorites - but honestly everything we try becomes a favorite.  Service is great - they'll always find you a table and treat you like a VIP.  The Italian wine list is fairly priced as restaurants go, but the House wines are fine.
",2018-07-15,5.0
304,Scott F.,"I tried this restaurant a while back. Hopefully they have a new chef & staff. I ordered a fusilli dish with marinara-type sauce. As I dug in, I noticed there was an actual broken-off corkscrew (yes, a metal corkscrew) in the pasta. I sent it back, but the waiter was pretty blas`e about it. He asked if I wanted something else, & I said no. Then when he brought the check, the pasta charge had not been removed. He was lucky I didn't call the Health Dept. I didn't have my phone or I'd have taken a photo. This was a few years back, so hopefully they've changed hands. Let's hope so.
",2018-12-04,1.0
305,Anita C.,"Great place overall. I loved the unique decor. We made reservations and were seated right away. Our waiter was very nice and gave us great meal recommendations. Food was good!
",2019-01-07,5.0
306,Jim C.,"Atmosphere was great, the service attentive, huge menu.  We ordered two pizzas for two people and that was way too much food.  I found the pizza to be a bit ""soupy"" and the sauce too salty.  I'll probably try something different on the menu next time.
",2018-04-19,4.0
307,Victoria A.,"The appetizer platter is dangerous... couldn't finish my pizza afterwards!! Beautiful restaurant, amazing service and incredible food that will leave you comatose lol
",2018-12-09,5.0
308,pamela w.,"This was a fabulous dinner - hubby and I split the huge seafood plate with linguine and split the spinach salad.  Had a great bottle of montepulciano with it.  We are in town for a conference but have traveled the world and many times in Italy. This is the real deal and our service was spectaculAr!
",2019-05-18,5.0
309,Sherille S.,"Been to this place several times. The host is always friendly and engaging. The wait staff can be a little busy at times, but they always refill the water. It can be a little hard at times to track down the waiter for the bill when it gets busy. I can also see why some people complain about the service since the waiters can be abrupt at times. 

As for the food, good amount of variety. Huge portions. I do have to mention some inconsistencies.  The first time I came, I ordered the squid ink pasta with calamari, but for some reason it didn't come with the calamari,  so I had to mention this to the waiter and they fixed it. It was great once they got it right. Second time I ate there I ordered the frutti di mare and it came with fish and was missing some items listed in the description. I had to mention this again, so they added the missing seafood, but the fish was left in it so it added a weird flavor and I didn't care for it. The last time I ordered the rigatoni with spicy sausage, meat sauce, and eggplant. The order was right this time, but it was very oily. 

Worth a try, just make sure your dish comes out as described in the menu.
",2016-08-03,4.0
310,Bethany H.,"I love this place! The food is always super tasty and fresh and the service is on point! Everyone is super friendly. Definitely my favorite hang out restaurant in North Beach!
",2019-01-27,5.0
311,Gigi G.,"This place is so romantic and cozy!
I ordered the spinach salad. Walnuts' oily flavor is perfect with sweet and fresh spinach. Cheese is not too heavy and sour.
For the appetizer, definitely try bruschetta! Tomatoes with crispy bread, full of juice!
You can't miss the pasta, too! Just choose whatever you want! They have the best sauces and soft, chewy pasta! 
When the lights were turned on, it looked like an old Italian movie during Renaissance. Yellow, warm lights shined on the old pictures and paintings. You were surrounded by the shades of vintage and smiled, just like Mona Lisa.
",2018-05-23,4.0
312,Cathy L.,"The perfect Italian experience!! Great food,  atmosphere, and hospitality!  Love love the risotto piscatory!!   Great gluten free choices!!! 

Mauricio and staff the best
",2019-01-26,5.0
313,amanda c.,"The food looked good.  But I didn't stay long enough to try it.  The service was really, really rude.  To the point that after we put in our order, I cancelled it and left.  

After getting conned into entering by a nice man who was sitting outside, we sat and waited.  And waited.  And then waited some more.  When our server finally came to our table, he acted like he was doing us a favor.  When the kid at the table next to us started banging on her table and yelling, I knew it was time to go.

We went across the street to Il Casaro.  A much better experience!
",2017-07-01,2.0
314,David T.,"Only had delivery, but I was pleasantly surprised. The food was good.
I only got to try a couple of things, but I'll be back.
",2016-07-17,4.0
315,Gene D.,"I had to take off a star due to the service received the evening we dined there.  More on that later.

The decor is your classic North Beach fare.  It was stuffed full of decorations, etc.  Some would call it gaudy while others would call it classic/typical of the area.  i would agree with the later.

The food had its share of hits and misses.  My Chicken Saltimbocca was surprisingly good.  It was simply prepared with roasted potatoes and sauteed spinach.  The chicken was moist while the prosciutto and sage offered delicious contrasts to one another.  The sauce/juice that was present had a good flavor profile to it.  The spaghetti Carbonara was so-so.  It was not a good as other places we had been too.  We couldn't pick out the reason but only knew so by the taste.

Roberto (?) was rude and not very attentive to us.  When he first came over to take our drink orders, everything seemed fine.  After that, things changed for some reason.  The wait to take our orders was extremely long.  In fact, several tables around us, where people arrived after us, had already ordered.  We tried to get his attention several times to no avail.  The menus were closed so that should have been a clue to him to come over.  It took several requests to just get the balsamic vinegar for our bread.  Then, after only having it for a few minutes, he came by and took the vinegar and olive oil, only to give it to a couple at an adjacent table.  Needless to say, both parties were shocked at that move.  The couple was kind enough to give them back to us after they had poured some for themselves.  

We might come back some time, as long as we do not have him again...
",2017-07-04,2.0
316,Joe M.,"If you want the real deal pizza and Italian flair this is your spot.   Being from Italy this is the closest thing to home you can get for true Italian pizza. They use premium imported Italian ingredients.  The crust is made with double zero flour and is extremely light and crispy.  Guarantee you will enjoy it
",2019-01-16,5.0
317,Rachel K.,"Let me tell you something. The NERVE of these sub par rude servers is BEYOND my comprehension. I can't even begin to express my rage because there are no words. We came here with family for a night out and all put in when the bill came. The server- who had to be asked to refill my glass and was nowhere to be seen most of the evening- decided that he is deserving of a 5 star tip and came BACK TO THE TABLE to ask ""if service was ok"" because he only go x amount of dollars. FIRST OF ALL how DARE you come to whole table and try to shame us. You can politely pull someone aside if you really think that there was an ""issue"". What in the flip is this?!? WHO DOES THAT!!!!! Who!!!!!!?!?? I've read some other reviews with the same issue and it seems like the manager ""addresses"" the problem but it continues to happen- so maybe GET RID OF YOUR SERVERS!!!!! I plan on showing back up and asking for a FULL REFUND. who the hell do they think they are? The food was sub par at best- and when you add that level of service then this hole should just go out of business. I've been to several upscale restaurants - this isn't one of them. And maybe they didn't get the memo but a tip is EARNED, if it isn't then just add it to my bill and don't leave me to decide what I want to give. This experience ruined the rest of our night and put a sour taste in our mouth for the rest of the trip. Glad this restaurant strives to embarrass their patrons and nothing is done about it. This isn't the last they've heard from me I'll tell you that.
",2019-04-18,1.0
318,Lori M.,"My daughter was visiting San Francisco with her boyfriend, so I wanted to send them a gift card for her favorite restaurant, Mona Lisa. Unfortunately as they went to use it, their waiter/waitress informed them it had to be printed. It does not state this on the site when you go to purchase. They're supposed to have a Merchant App, but they do not. This seemed like an easy way to buy them dinner, but that was a fail. I looked at the site who sells the cards and it says the retailer just scans it. Very disappointing, especially since we don't even live there anymore. Am I out the money? Beware-DO NOT buy online Gift Cards for this restaurant! Waiting on my refund from Egiftify. Will update my review once this has been resolved.

UPDATE:

I contacted Egiftify land after they communicated with Mona Lisa and myself, I have been refunded. I personally received a phone call from the manager at Mona Lisa and they apologized. I'm sure after educating their wait staff, there will no longer be issues with redeeming E-gifts.
",2018-03-16,4.0
319,Jamil L.,"The restroom is amazing: delicious Italian food,good decor and welcoming team. I'll definitely come back!
",2018-12-09,5.0
320,Shanette F.,"Food was good, I have had more flavorful Italian food. The waiter had a bad attitude, he was rude. The food was brought out quick, they are open late.
",2017-09-03,3.0
321,Jasmine H.,"I was walking down the street with my friends trying to find an Italian Restaurant with a lot of options and this place did not disappoint. 
The owner quickly came up to us and was super sweet so we decided to give this place a try! The decor was homey and very inviting with picture frames and busts everywhere. We decided to try the penne salsa rosa and lasagna vegetale. Overall the food was just okay. The penne pasta barely had any sauce and lacked taste. The lasagna lacked taste as well except for the spinach taste. I just wish it had more of a ricotta flavor I was looking for.
Other than that, the service was amazing as the server was attentive and very nice. The owner gave us a free appetizer of bruschetta which wasn't bad at all. 

I don't know if I would come back but the only reason I would come back would be for the decor and the amazing people who run the place!
",2017-08-31,3.0
322,Jessica S.,"Great authentic Italian restaurant. Came here for a friend's birthday party. We sampled a bunch of appetizers, the pasta trio, and I had a salmon entree. It was fantastic. Wish I could have kept eating but I was stuffed. Def would come back again.
",2018-03-19,4.0
323,Erin M.,"I absolutely love this restaurant especially for date night. The staff is so accommodating and makes you feel like family. I recommend to anyone looking for a quick bite or a fancy date
",2018-12-28,5.0
324,Nick S.,"Very rude maitre d accused us of being late and had already given our table away only 5 mins after our reservation time. Worked out pretty well as the Italian across the street was superb!
",2018-07-21,1.0
325,Alex O.,"We here looking for good food with high expectations, while the food was great the service totally ruined the experience.

We were seated immediately into the small and busy restaurant and proceeded to wait 15 minutes before even being noticed to receive water, bread or a greeting. We flagged another waitress for some service, and while she helped us, our waiter was still nowhere to be found. 

Finally our waiter came to our table and without a greeting, asked in a very unfriendly way what we wanted to eat. 45 minutes later we received our food and our waiter never came back. 

All in all, a dinner that should have lasted an hour or so lasted nearly 2 due to the negligence of our waiter, and what a shame because the food was great. (Chicken Parm-- Penne Ala Vodka) 

If you're okay with going to a very busy place and waiting a long time for food and service, the food may be worth it to you, but for us, we won't be coming back.
",2017-07-24,2.0
326,Ahir C.,"Terrible service, and the food wasn't good. Their pizza is served without any sauce, nobody told us, and when we questioned why the server lost his temper and said that ""it's the way is in Italy"", we went in Italy our last vacation and it's DEFINITELY NOT like that. The food was served cold, and it was an horrible experience.
",2018-12-23,1.0
327,Chris L.,"Great service! Great with my kids! Would go back in a second! Very cool space, too - eclectic and intimate.
",2019-05-14,5.0
328,Ivan R.,"No taste, bad service. Overall worse Italian restaurant I've been too and I thought Olive Garden was bad.
",2019-02-23,1.0
